,Posición,P+,Artista y canción,Dias,Posición más alta (xdias),Streams,Streams+,7Day,7Day+,Total
82,83,-3,Billie Eilish - BIRDS OF A FEATHER,301,49,"82,389","+2,660","560,716","-3,224","27,866,302"
83,84,-8,Kendrick Lamar - Not Like Us,43,16,"82,261",-457,"588,330","-11,385","5,299,334"
84,85,-11,Bryant Myers - Hasta Que Me Muera,48,62,"81,803","-3,360","600,477","+8,475","4,147,926"
85,86,NEW,"JC Reyes - MY SHORTY (w/ De La Ghetto, Ñengo Flow)",1,86,"81,168",,"81,168","+81,168","81,168"
86,87,NEW,JC Reyes - CELOSA (w/ David Marley),1,87,"80,935",,"80,935","+80,935","80,935"
87,88,-5,Dei V - Rapido (w/ Cris Mj),273,5,"78,998",-227,"551,642",-691,"57,687,227"
88,89,-7,Beéle - Frente al Mar,159,55,"78,916",-716,"506,488","+6,435","12,443,451"
89,90,-9,Manuel Turizo - Qué Pecao (w/ Kapo),161,13,"78,670","-1,001","597,592","-23,413","23,976,570"
90,91,-3,"Anuel AA - Sola (Remix) (w/ Daddy Yankee, Zion & Lennox, Farruko, Wisin)",656,10,"78,492","+2,510","501,556","+10,070","48,511,905"
91,92,-15,"Omar Courtz - Kyoto (w/ De La Rose, Haze)",146,59,"78,430","-3,613","580,430","-2,840","10,247,123"
92,93,-4,Anuel AA - Amanece (w/ Haze),1194,5,"78,359","+2,564","551,031","+1,817","130,230,571"
93,94,-2,Rvfv - Mi Luz (ft. Rels B) (w/ Rels B),1139,6,"78,165","+2,657","613,844","-20,678","158,917,464"
94,95,-11,"Gonzy - X'CLUSIVO - REMIX (w/ SAIKO, Arcángel)",378,1(x26),"77,134",-907,"539,504",-710,"99,497,911"
95,96,+10,Dani Fernández - Todo cambia,283,69,"75,954","+5,044","330,486","+75,954","22,528,123"
96,97,-10,Dani Fernández - Bailemos,411,63,"75,829",-648,"401,898","+22,033","21,760,788"
97,98,-3,Shakira - Soltera,169,5,"75,704","+1,204","544,638","-4,980","29,345,024"
98,99,-5,"Piso 21 - Volver (w/ Marc Anthony, Beéle)",32,66,"75,655",+738,"471,691","+12,373","2,538,797"
99,100,+1,Teddy Swims - Lose Control,389,59,"75,381","+2,704","502,903","+2,208","36,004,574"
100,101,-2,Gonzy - FRIKI,329,8,"75,355","+2,564","542,104","-2,592","66,268,241"
101,102,-2,Melendi - La promesa,557,6,"75,301","+2,562","472,301","+2,826","14,766,414"
102,103,-12,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",7,81,"75,036",-541,"526,471","+75,036","526,471"
103,104,-11,Extremoduro - La vereda de la puerta de atrás,93,93,"74,787",-317,"511,228","+1,134","5,680,548"
104,105,-1,Emilia - bunda 🍑 (w/ Luísa Sonza),19,87,"74,614","+2,610","482,943","-3,640","1,342,817"
105,106,-9,Bad Bunny - EL CLúB,98,3(x2),"74,571",+751,"525,705","-10,306","20,964,340"
106,107,+6,La La Love You - El Principio de algo (w/ Samuraï),520,53,"74,518","+5,980","399,907","+17,230","41,038,108"
107,108,+17,Lola Indigo - LA REINA,273,4,"73,406","+7,739","492,866","+3,724","68,168,301"
108,109,-7,Fito y Fitipaldis - Por la boca vive el pez,759,93,"73,383","+1,003","497,336","+1,811","45,783,902"
109,110,-20,Myke Towers - ADIVINO (w/ Bad Bunny),322,1(x1),"73,060","-2,585","538,062","-12,274","71,809,454"
110,111,-8,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),173,66,"73,011",+982,"385,294","+10,604","12,591,320"
111,112,RE,JC Reyes - ASI (w/ Fito la R),3,107,"72,749",,"205,636","+72,749","205,636"
112,113,+15,Sebastian Yatra - 2AM (w/ Bad Gyal),112,19,"72,729","+8,272","467,614","+8,857","16,341,327"
113,114,+25,Omar Montes - Goteras (w/ JC Reyes),259,1(x1),"72,469","+11,040","452,109","+2,976","63,307,487"
114,115,-5,Quevedo - VISTA AL MAR,908,2(x31),"71,870","+1,466","459,173","+2,223","153,153,366"
115,116,-7,Quevedo - KASSANDRA,113,2(x5),"71,182",+659,"491,940","-11,492","20,742,806"
116,117,-1,"Yan Block - Juguete (w/ NTG, SAIKO)",132,61,"70,978","+3,374","461,251","+5,589","10,712,590"
117,118,-20,Marta Santos - Contigo,84,59,"70,944","-2,707","446,067","+5,755","6,235,881"
118,119,-14,NATHY PELUSO - EROTIKA,7,68,"70,918",-658,"507,698","+70,918","507,698"
119,120,+10,Bryant Myers - Como Panas,169,40,"70,767","+6,566","499,023","-1,967","10,773,801"
120,121,+3,Recycled J - SKR SKR (w/ mvrk),38,54,"70,426","+4,757","389,818","+2,458","3,000,748"
121,122,-4,Dei V - Sirena,14,64,"70,247","+3,127","462,430","-8,486","985,992"
122,123,-6,C Marí - Contacto (w/ John Pollõn),71,68,"69,444","+1,979","443,425","+10,154","4,485,502"
123,124,-1,Maluma - Cosas Pendientes,112,22,"69,412","+3,698","438,374","+7,234","13,176,152"
124,125,-13,Bad Bunny - PERFuMITO NUEVO (w/ RaiNao),68,6,"69,103",-347,"493,853","-7,908","14,751,557"
125,126,-12,Estopa - Como Camarón,1525,32,"68,880",+409,"484,690","+1,200","95,830,851"
126,127,-20,Quevedo - SHIBATTO,112,2(x7),"68,754","-1,954","480,181","-7,374","20,949,527"
127,128,NEW,JC Reyes - REMEDIO (w/ Pirlo),1,128,"68,443",,"68,443","+68,443","68,443"
128,129,+3,Myke Towers - LALA,625,1(x4),"68,051","+4,715","467,530","+8,003","155,614,558"
129,130,-19,DELLAFUENTE - Manos Rotas (w/ Morad),483,1(x44),"67,982","-2,228","469,048","-4,977","116,487,361"
130,131,-9,Ozuna - Se Preparó,447,2(x11),"67,726","+1,785","468,638","+7,154","43,027,376"
131,132,-36,Danny Ocean - VITAMINA,32,42,"67,611","-6,579","459,854","+5,827","2,601,788"
132,133,-14,"JHAYCO - No Me Conoce - Remix (w/ J Balvin, Bad Bunny)",345,85,"67,059",+269,"492,892","-8,512","21,817,232"
133,134,-14,Melendi - Un violinista en tu tejado,718,80,"66,997",+611,"464,213","-3,070","49,029,805"
134,135,-20,Blessd - DEPORTIVO (w/ Anuel AA),120,8,"66,724","-1,160","444,765","+3,711","15,103,765"
135,136,-28,Yan Block - Vacile,230,16,"66,541","-4,122","595,944","-37,312","37,191,284"
136,137,+56,JC Reyes - 34 Amor y Mafia (w/ Camin),548,20,"65,543","+13,498","404,414","+4,442","42,765,501"
137,138,-5,"Bryant Myers - Esclava - Remix (w/ Anonimus, Anuel AA, Almighty)",25,107,"65,379","+2,323","451,503",+953,"1,460,375"
138,139,-3,FloyyMenor - Gata Only (w/ Cris Mj),390,2(x6),"65,066","+2,670","450,206","-1,620","95,167,744"
139,140,-5,Dei V - Narcotics (w/ Bryant Myers),545,15,"65,066","+2,585","444,158","+5,271","71,505,030"
140,141,-14,Bad Gyal - Fiebre - Prod. King DouDou,620,71,"64,983",+264,"471,262","+9,517","33,984,064"
