,ID,Artista_original,Artista_similar,Coincidencia
173,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Danna Paola,0.222285
174,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Becky G,0.222109
175,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Mabel,0.219742
176,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Nessa Barrett,0.217504
177,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Adele,0.217018
178,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,The Weeknd,0.216825
179,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Rina Sawayama,0.216258
180,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Gracie Abrams,0.215154
181,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jordin Sparks,0.214604
182,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Lizzo,0.214260
183,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Aaliyah,0.210132
184,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Hailee Steinfeld,0.209127
185,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Selena Gomez & the Scene,0.207886
186,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Muni Long,0.206612
187,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jennifer Lopez,0.206137
188,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Pia Mia,0.203704
189,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Zayn,0.202497
190,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Doechii,0.201610
191,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Rosalía,0.200987
192,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Halsey,0.195002
193,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Justin Timberlake,0.194340
194,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Keke Palmer,0.194283
195,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Jessie J,0.194251
196,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Shawn Mendes,0.193375
197,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Teyana Taylor,0.190574
198,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Charlie Puth,0.188579
199,0lAWpj5szCSwM4rUMHYmrr,Ariana Grande,Kiana Ledé,0.184001
200,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Mike Shinoda,1
201,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Dead By Sunrise,0.927263
202,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Jay-Z and Linkin Park,0.751889
203,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Dead Sara,0.493634
204,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Grey Daze,0.446049
205,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Papa Roach,0.391443
206,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Three Days Grace,0.361119
207,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Slipknot,0.341326
208,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Chester Bennington,0.326597
209,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Limp Bizkit,0.290324
210,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Korn,0.281813
211,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Breaking Benjamin,0.272789
212,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,System of a Down,0.244459
213,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,P.O.D.,0.233019
214,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Deftones,0.215813
215,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Staind,0.215111
216,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Disturbed,0.214841
217,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Skillet,0.201919
218,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Evanescence,0.191052
219,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Adema,0.187138
220,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Saliva,0.180757
221,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Thousand Foot Krutch,0.180194
222,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,30 Seconds to Mars,0.178630
223,0lAWpj5szCSwM4rUMHYmrr,Linkin Park,Drowning Pool,0.177928
